"","date","day_of_week","is_weekday","location","hour","demand","wind_speed","temperature","activity"
"263","2025-09-03","Wednesday",1,"birmingham",23,352.97,4.91730055645981,14.7316,0.21629789423508
"264","2025-09-03","Wednesday",1,"birmingham",24,314.57,4.72213787993317,14.15078,0.0690905489961225
"265","2025-09-03","Wednesday",1,"bristol",1,363.34,2.91098128117758,14.98818,0.0534461940746028
"266","2025-09-03","Wednesday",1,"bristol",2,362.26,3.32932374793681,14.67422,0
"267","2025-09-03","Wednesday",1,"bristol",3,365.55,4.06639516647356,14.6066,0.0954067167482736
"268","2025-09-03","Wednesday",1,"bristol",4,363.57,4.66937008450932,15.00283,0.0960850997518149
"269","2025-09-03","Wednesday",1,"bristol",5,382.72,5.06477351158011,15.87637,0.100626509324299
"270","2025-09-03","Wednesday",1,"bristol",6,353.37,8.5901797844693,17.05972,0.180911301969695
"271","2025-09-03","Wednesday",1,"bristol",7,448.98,8.26634993877515,17.3102,0.0607748937199302
"272","2025-09-03","Wednesday",1,"bristol",8,511.46,7.68906602854932,17.00625,0.882302645827248
"273","2025-09-03","Wednesday",1,"bristol",9,548.95,6.83845278550997,17.14932,0.839665320309989
"274","2025-09-03","Wednesday",1,"bristol",10,537.31,5.60531966720739,17.79214,0.320559703809639
"275","2025-09-03","Wednesday",1,"bristol",11,562.31,5.00542046612993,18.32998,0.308575170912042
"276","2025-09-03","Wednesday",1,"bristol",12,584.77,5.25289055693311,18.0331,0.20045023716231
"277","2025-09-03","Wednesday",1,"bristol",13,618.06,4.52382377200793,18.47012,0.291959510419645
